image_path,mask_path
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI206-HH-1650-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI206-HH-1650-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI201-HH-1588-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI201-HH-1588-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_119/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_119/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI524-HH-2412-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI524-HH-2412-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_147/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_147/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI462-IOP-1042-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI462-IOP-1042-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/infant_t1_21/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/infant_t1_21/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI026-Guys-0696-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI026-Guys-0696-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI318-Guys-0895-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI318-Guys-0895-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI482-HH-2178-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI482-HH-2178-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI522-HH-2453-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI522-HH-2453-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_143/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_143/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI107-Guys-0761-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI107-Guys-0761-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_152/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_152/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI114-Guys-0737-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI114-Guys-0737-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI307-IOP-0872-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI307-IOP-0872-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_135/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_135/mask_GT.nii.gz
