image_path,mask_path
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI318-Guys-0895-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI318-Guys-0895-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI109-Guys-0732-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI109-Guys-0732-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/infant_t1_18/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/infant_t1_18/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI633-HH-2689-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI633-HH-2689-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_152/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_152/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI114-Guys-0737-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI114-Guys-0737-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_134/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_134/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI436-HH-2153-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI436-HH-2153-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI460-Guys-0999-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI460-Guys-0999-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI646-HH-2653-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI646-HH-2653-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_123/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_123/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI140-Guys-0787-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI140-Guys-0787-T1/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_145/image.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/asl_t1_145/mask_GT.nii.gz
/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI394-Guys-0940-T1/raw.nii.gz,/home/andresousa615/rempe/mede_code/processed_datasets/processed_datasets/treino/IXI394-Guys-0940-T1/mask_GT.nii.gz
